what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762561520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762573747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762574103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762583723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762586182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762587149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762596108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762604559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762607814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762610644
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1361762617351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762654653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762658055
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1361762658059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762658687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762658853
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361762667829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762671996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762676130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762678619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762683302
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361762685309
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1361762685377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762688270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762689776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762692341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762695158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762695806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361762699290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1361762720522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361762721401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361762721816
