what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1361511953707
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1361511953708
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1361511953710
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1361511953712
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1361511953715
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1361511953717
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1361511953722
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1361511953724
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1361511953728
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1361511953732
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1361511953733
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1361511953735
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1361511953737
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1361511953738
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1361511953740
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1361511953742
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1361511953743
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1361511953745
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1361511953746
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1361511953748
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1361511953750
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1361511953752
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1361511953752
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1361511953753
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1361511953754
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1361511953756
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1361511953757
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1361511953759
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1361511953761
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1361511953762
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1361511953763
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1361511953765
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1361511953765
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1361511953766
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1361511953767
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1361511953769
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1361511953770
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1361511953772
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1361511953773
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1361511953775
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1361511953776
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1361511953777
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1361511953779
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1361511953781
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1361511953783
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1361511953785
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1361511953785
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1361511953787
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1361511953789
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1361511953790
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1361511953792
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1361511953793
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1361511953795
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1361511953799
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1361511953802
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1361511953804
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1361511953806
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1361511953810
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1361511953884
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1361511953885
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1361511953886
os,sysinfo,,,"win32",1361511953893
arch,sysinfo,,,"x86_64",1361511953893
ws,sysinfo,,,"win32",1361511953893
locale,sysinfo,,,"en_US",1361511953893
processors,sysinfo,,,"4",1361511953893
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361511953893
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1361511953893
java.specification.name,sysinfo,,,"Java Platform API Specification",1361511953893
java.specification.vendor,sysinfo,,,"Oracle Corporation",1361511953893
java.specification.version,sysinfo,,,"1.7",1361511953893
java.vendor,sysinfo,,,"Oracle Corporation",1361511953893
java.version,sysinfo,,,"1.7.0_02",1361511953893
java.vm.info,sysinfo,,,"mixed mode",1361511953893
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1361511953893
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361511953893
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1361511953893
java.vm.specification.version,sysinfo,,,"1.7",1361511953893
java.vm.vendor,sysinfo,,,"Oracle Corporation",1361511953893
java.vm.version,sysinfo,,,"22.0-b10",1361511953893
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1361511954086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511954849
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1361511954852
error,log,,,"SecurityException: Unable to find field for dex.jar",1361511957096
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1361511957127
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1361511960884
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1361511964482
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1361511964886
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1361511964887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511967561
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1361511968745
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1361511969103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511971699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511975785
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1361511975816
started,bundle,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms",1361511977002
started,bundle,com.android.ide.eclipse.traceview,21.0.1.v201212060256-543035,"com.android.ide.eclipse.traceview",1361511986161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511986242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511994589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511996090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361511999890
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1361512003937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512003961
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1361512004046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512007305
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1361512008549
opened,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1361512015482
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1361512015491
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1361512016867
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1361512026998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512027010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512030311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512032699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512033860
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1361512033864
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1361512035894
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1361512039076
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1361512039212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1361512040862
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1361512043023
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1361512043043
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1361512043074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512044616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512050096
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1361512050426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512050447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512052047
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1361512055544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1361512059575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512060439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512060882
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361512197071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.restartWorkbench",1361512197253
